,canonical,available,frontenddate,id,introduction,lastmodified,title,type,dataurl,initialdate
0,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/03/31/rijksministerraad-verkiezingen-curacao-op-28-april-moeten-doorgaan',b'2017-03-31T10:00:00.000Z',b'2017-03-31T10:00:00.000Z',b'4adb1ee8-8ea4-4e70-871a-a9e31382bc35',b'<p>De Rijksministerraad heeft op voorstel van minister Plasterk van Binnenlandse Zaken en Koninkrijksrelaties besloten om spoedadvies bij de Raad van State van het Koninkrijk te vragen over enkele maatregelen om te verzekeren dat de verkiezingen voor de Staten van Cura\xc3\xa7ao op 28 april 2017 ordentelijk verlopen.</p>',b'2017-05-02T11:17:43.258Z',b'Rijksministerraad: Verkiezingen Cura\xc3\xa7ao op 28 april moeten doorgaan',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/4adb1ee8-8ea4-4e70-871a-a9e31382bc35',b'2017-03-31T12:00:00.000+02:00'
1,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/05/12/staat-gaat-in-hoger-beroep-tegen-uitspraak-fosfaatreductieregeling',b'2017-05-12T15:30:00.000Z',b'2017-05-12T15:30:00.000Z',b'ee733295-55e2-4b62-9690-1baf0756ba0f',b'<p>De Staat gaat in hoger beroep tegen de uitspraak van de rechter waarmee onlangs een beperkt aantal boerenbedrijven is uitgezonderd van de fosfaatreductieregeling. Voor alle andere melkveebedrijven blijft de fosfaatreductieregeling onverkort van toepassing.</p>',b'2017-05-15T09:14:23.530Z',b'Staat gaat in hoger beroep tegen uitspraak fosfaatreductieregeling',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/ee733295-55e2-4b62-9690-1baf0756ba0f',b'2017-05-12T17:30:00.000+02:00'
2,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/05/17/financieel-jaarverslag-2016-voor-het-eerst-in-jaren-een-begrotingsoverschot',b'2017-05-17T08:15:00.000Z',b'2017-05-17T08:15:00.000Z',b'c7b4b23f-fb4d-4427-8cef-8082417f648a',"b'<p>Het Rijk gaf vorig jaar voor het eerst sinds 2008 minder geld uit dan er binnenkwam. Dat zorgde voor een begrotingsoverschot van 2,9 miljard euro. Dat kwam vooral doordat de opbrengst uit belastingen en premies hoger lag dan verwacht. De uitgaven waren ook iets lager dan begroot. Daarnaast daalde ook de overheidsschuld aanzienlijk.</p>'",b'2017-05-22T07:37:24.339Z',b'Financieel Jaarverslag 2016: voor het eerst in jaren een begrotingsoverschot',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/c7b4b23f-fb4d-4427-8cef-8082417f648a',b'2017-05-17T10:15:00.000+02:00'
3,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/05/17/verantwoordingsbrief-2016',b'2017-05-17T08:15:00.000Z',b'2017-05-17T08:15:00.000Z',b'dfb74f72-8953-4250-99d8-9b28382bae60',"b'<p>Het overheidstekort is in 2016 omgebogen naar een begrotingsoverschot van 0,4%. De werkloosheid liep met 75.000 personen terug naar 6,0% van de beroepsbevolking. En de economische groei bedroeg vorig jaar 2,2%. Daarmee groeide de economie voor het derde jaar op rij.</p>'",b'2017-05-22T07:36:58.118Z',b'Verantwoordingsbrief 2016: Van overheidstekort naar begrotingsoverschot',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/dfb74f72-8953-4250-99d8-9b28382bae60',b'2017-05-17T10:15:00.000+02:00'
4,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/05/26/melkveesector-hoeft-minder-in-te-krimpen-door-goed-resultaat-fosfaatreductieplan',b'2017-05-26T10:15:00.000Z',b'2017-05-26T10:15:00.000Z',b'835c96a9-078a-4262-a6bc-627a64e1fe22',b'<p>Door de goede voortgang van het fosfaatreductieplan hoeft de melkveehouderij in de derde periode van dit jaar minder in te krimpen dan eerder was voorzien. Het reductiepercentage voor boeren wordt voor de derde periode vastgesteld op 12 procent in plaats van de eerder voorgenomen 20 procent. Het is de ambitie dit percentage ook te behouden voor de rest van dit jaar.</p>',b'2017-05-26T10:20:54.366Z',b'Melkveesector hoeft minder in te krimpen door goed resultaat fosfaatreductieplan',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/835c96a9-078a-4262-a6bc-627a64e1fe22',b'2017-05-26T12:15:00.000+02:00'
5,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/06/15/normenbrief-1-juli-2017-informatie-voor-gemeenten',b'2017-06-15T09:35:00.000Z',b'2017-06-15T09:35:00.000Z',b'a65332df-9ce8-466a-aced-5381d520490a',"b'<p>Het bruto wettelijk minimumloon is per 1 juli 2017 vastgesteld op \xe2\x82\xac 1.565,40 per maand (was: \xe2\x82\xac 1551,60). In verband hiermee zal het netto minimumloon, als bedoeld in artikel 37 van de Participatiewet per genoemde datum eveneens wijzigen.</p>'",b'2017-06-15T16:05:10.803Z',b'Normenbrief 1 juli 2017 - informatie voor gemeenten',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/a65332df-9ce8-466a-aced-5381d520490a',b'2017-06-15T11:35:00.000+02:00'
6,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/06/15/rekenregels-1-juli-2017',b'2017-06-15T15:23:00.000Z',b'2017-06-15T15:23:00.000Z',b'96828bd3-234c-4fcd-9ac1-2c892e72e647',"b'<p>In deze rekenregels zijn de gevolgen verwerkt van aanpassingen in het bruto wettelijk minimumloon, de sociale premies, belastingtarieven en heffingskortingen per 1 juli 2017 voor uitkeringsbedragen en grondslagen op het minimumniveau. Ook zijn de belangrijkste beleidswijzigingen met betrekking tot deze uitkeringsbedragen opgenomen.</p>'",b'2017-06-15T16:04:56.108Z',b'Rekenregels 1 juli 2017',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/96828bd3-234c-4fcd-9ac1-2c892e72e647',b'2017-06-15T17:23:00.000+02:00'
7,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/06/19/evaluatie-verkiezingen-aanpassing-kieswet-nodig',b'2017-06-19T19:24:00.000Z',b'2017-06-19T19:31:00.000Z',b'3949492d-7038-4519-9b5a-7f978b221765',"b'<p>Niet alle gemeenten en hoofdstembureaus hebben zich nauwgezet gehouden aan instructies om controles uit te voeren zodat eventuele fouten tijdig zouden worden ontdekt en gecorrigeerd. Dat was met name het geval in kieskring Den Bosch waar 8700 stemmen niet zijn meegeteld. In de andere kieskringen zijn, voor zover de Kiesraad heeft kunnen vaststellen, in totaal iets meer dan 300 stemmen niet geteld.</p>'",b'2017-06-19T19:32:17.402Z',b'Evaluatie verkiezingen: aanpassing Kieswet nodig',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/3949492d-7038-4519-9b5a-7f978b221765',b'2017-06-19T21:31:00.000+02:00'
8,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/08/18/melkveehouderij-eind-dit-jaar-weer-onder-europees-fosfaatplafond',b'2017-08-18T11:18:00.000Z',b'2017-08-18T11:18:00.000Z',b'61853fa1-f83d-4562-a861-56d9b39ac445',"b'<p>De fosfaatproductie in de melkveehouderij is in de eerste helft van dit jaar met 8,3 miljoen kilo gedaald. Hiermee komt Nederland aan het einde van het jaar weer onder het Europese fosfaatplafond. Dat is noodzakelijk om de bijzondere uitzonderingspositie van Nederlandse boeren, de zogeheten derogatie, te behouden. Voorwaarde is wel dat de boeren dit resultaat de komende maanden vasthouden en de veestapel niet meer laten groeien.</p>'",b'2017-08-22T13:13:25.766Z',b'Melkveehouderij eind dit jaar weer onder Europees fosfaatplafond',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/61853fa1-f83d-4562-a861-56d9b39ac445',b'2017-08-18T13:18:00.000+02:00'
9,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/09/06/staat-ontvangt-ruim-700-miljoen-dividend',b'2017-09-07T12:43:00.000Z',b'2017-09-07T12:43:00.000Z',b'a1e18d90-3494-4687-a253-40698f954b08',b'<p>De Nederlandse staat heeft het afgelopen jaar ruim 700 miljoen euro aan dividend uit staatsdeelnemingen ontvangen. Dat blijkt uit het Jaarverslag Beheer Staatsdeelnemingen 2016 dat minister Dijsselbloem van Financi\xc3\xabn vandaag naar de Tweede Kamer heeft gestuurd.</p>',b'2017-09-08T07:06:27.112Z',b'Staat ontvangt ruim 700 miljoen dividend',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/a1e18d90-3494-4687-a253-40698f954b08',b'2017-09-07T14:43:00.000+02:00'
10,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/09/12/rijksministerraad-n.a.v.-orkaan-irma',b'2017-09-12T09:47:00.000Z',b'2017-09-12T09:47:00.000Z',b'ae745cc9-d77e-41ba-bfe4-1e2ff614727d',"b'<p>Vandaag is de Rijksministerraad bijeengekomen om te vergaderen over de actuele situatie op de Caribische eilanden Sint Maarten, Saba en Sint Eustatius die zwaar zijn getroffen door orkaan Irma.</p>'",b'2018-08-27T10:01:27.186Z',b'Rijksministerraad n.a.v. orkaan Irma',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/ae745cc9-d77e-41ba-bfe4-1e2ff614727d',b'2017-09-12T11:47:00.000+02:00'
11,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/09/12/lelystadroutes-minder-overlast-voor-veluwe-hoger-vliegen-en-meer-ruimte-voor-behoud-zweefvliegen-in-overijssel',b'2017-09-12T18:02:00.000Z',b'2017-09-12T18:02:00.000Z',b'8f2047af-c47a-4ed1-b492-ee772b2c1d8c',"b'<p>Er vliegen straks geen vliegtuigen vanuit Lelystad op 6000 voet (ca. 1800 meter) over het noordelijk deel van de Veluwe. In plaats daarvan kunnen vliegtuigen langer gebundeld doorvliegen naar het zuiden en doorklimmen naar tenminste 9000 voet (ca. 2,7 kilometer) om pas voorbij Apeldoorn af te buigen naar het zuidwesten. Ook zal in de praktijk vaak hoger gevlogen worden dan is aangegeven, wat leidt tot effici\xc3\xabnter vliegen en minder geluid op de grond. Voor het zweefvliegen op Lemelerveld ontstaat ruimte voor behoud van een groot deel van de activiteiten, omdat het hiervoor beschikbare luchtruim omhoog gaat van 3000 naar 4500 voet.</p>'",b'2017-09-12T18:08:48.045Z',"b'Lelystadroutes: minder overlast voor Veluwe, hoger vliegen en meer ruimte voor behoud zweefvliegen in Overijssel'",b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/8f2047af-c47a-4ed1-b492-ee772b2c1d8c',b'2017-09-12T20:02:00.000+02:00'
12,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/09/19/miljoenennota-2018-nederlandse-overheidsfinancien-kerngezond',b'2017-09-19T13:15:00.000Z',b'2017-09-19T13:15:00.000Z',b'29cea432-9a11-47f9-b966-f34fd9edb81d',"b'<p>Het gaat boven verwachting goed met de ontwikkeling van de overheidsfinanci\xc3\xabn. Zo loopt het begrotingsoverschot dat in 2016 is bereikt volgend jaar verder op naar 0,8% van het bruto binnenlands product (bbp). De overheidsschuld daalt volgend jaar verder naar 54,4% van het bbp.</p>'",b'2017-09-21T07:41:29.094Z',b'Miljoenennota 2018: Nederlandse overheidsfinanci\xc3\xabn kerngezond',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/29cea432-9a11-47f9-b966-f34fd9edb81d',b'2017-09-19T15:15:00.000+02:00'
13,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/09/19/deltaprogramma-2018-maatregelen-om-gevolgen-van-extreem-weer-te-beperken',b'2017-09-19T13:17:00.000Z',b'2017-09-19T13:17:00.000Z',b'e87e4fb3-cf4e-4339-811c-91cd5cac7de8',"b'<p>Om de gevolgen van wateroverlast, hitte, droogte en overstromingen zo veel mogelijk te beperken bevat het Deltaprogramma dit jaar voor het eerst een nieuw Deltaplan Ruimtelijke adaptatie. Voor de uitvoering van dit nieuwe Deltaplan is jaarlijks een substantieel bedrag extra nodig.</p>'",b'2017-09-19T11:55:32.579Z',"b'Deltaprogramma 2018, Maatregelen om gevolgen van extreem weer te beperken'",b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/e87e4fb3-cf4e-4339-811c-91cd5cac7de8',b'2017-09-19T15:17:00.000+02:00'
14,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/09/25/schippers-past-vaccinatie-tegen-meningokokken-aan',b'2017-09-25T10:00:00.000Z',b'2017-09-25T10:00:00.000Z',b'd45c59f4-94d0-4ba6-9968-6dc089dc533c',"b'<p>Minister Edith Schippers van Volksgezondheid en Sport heeft op advies van een deskundigenberaad besloten de vaccinatie tegen meningokokken aan te passen. In de loop van 2018 krijgen alle baby\xe2\x80\x99s van 14 maanden een vaccinatie die beschermt tegen meningokokken typen A, C, W en Y. Ook jongeren in de onderbouw van het voortgezet onderwijs ontvangen een uitnodiging voor een vaccinatie tegen meningokokken. Met de keuze voor een combinatievaccin wil de minister de gestage toename van besmettingen met meningokokken type W stoppen. Het aantal infecties is gestegen van gemiddeld vier per jaar in de jaren voor 2015 tot vijftig in 2016 en 47 tot 1 augustus van dit jaar.</p>'",b'2017-09-25T10:12:18.748Z',b'Schippers past vaccinatie tegen meningokokken aan',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/d45c59f4-94d0-4ba6-9968-6dc089dc533c',b'2017-09-25T12:00:00.000+02:00'
15,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/10/kabinet-rutte-iii',b'2017-10-10T10:20:00.000Z',b'2017-10-09T22:00:00.000Z',b'511724f9-e5aa-4898-a89b-12c1fc76b588',,b'2017-11-22T11:24:05.448Z',b'Kabinet Rutte III: meer handhaving en fraudebestrijding schijnconstructies',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/511724f9-e5aa-4898-a89b-12c1fc76b588',b'2017-10-10T00:00:00.000+02:00'
16,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/13/fonds-voor-wederopbouw-sint-maarten',b'2017-10-13T13:48:00.000Z',b'2017-10-13T13:48:00.000Z',b'ff7f94fc-8fa8-4834-912b-0f5635626282',"b'<p>Nederland is bereid via een fonds geld beschikbaar te stellen voor de wederopbouw van Sint Maarten, na de schade die de orkaan Irma heeft aangericht.</p>'",b'2018-08-27T10:20:56.317Z',b'Fonds voor wederopbouw Sint Maarten',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/ff7f94fc-8fa8-4834-912b-0f5635626282',b'2017-10-13T15:48:00.000+02:00'
17,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/18/minister-kamp-waarschuwt-voor-onverantwoorde-groei-melkveestapel',b'2017-10-18T16:00:00.000Z',b'2017-10-18T16:00:00.000Z',b'10d022f7-e8b7-4909-93ef-9afb2c622431',"b'<p>Melkveehouders moeten hun veestapel de komende maanden niet meer laten groeien omdat zij anders de bijzondere uitzonderingspositie van Nederlandse boeren in Europa, de zogeheten derogatie, alsnog dreigen te verliezen. Dat schrijft minister Kamp van Economische Zaken vandaag in een brief aan de Tweede Kamer. Na een forse inkrimping eerder dit jaar is de veestapel de afgelopen maanden weer met circa 10.000 melkkoeien gegroeid. Daardoor wordt het moeilijker om aan het einde van het jaar te voldoen aan de Europese regels.\xc2\xa0</p>'",b'2017-10-19T10:28:19.904Z',b'Minister Kamp waarschuwt voor onverantwoorde groei melkveestapel',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/10d022f7-e8b7-4909-93ef-9afb2c622431',b'2017-10-18T18:00:00.000+02:00'
18,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/26/kabinet-rutte-iii-beedigd',b'2017-10-26T10:00:00.000Z',b'2017-10-26T10:00:00.000Z',b'68cf9ce7-8c79-4a03-86f2-a331744cdf17',b'<p>Het kabinet-Rutte III is op Paleis Noordeinde be\xc3\xabdigd. Het nieuwe kabinet bestaat uit 16 ministers en 8 staatssecretarissen.</p>',b'2019-01-04T08:55:06.055Z',b'Kabinet-Rutte III be\xc3\xabdigd',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/68cf9ce7-8c79-4a03-86f2-a331744cdf17',b'2017-10-26T12:00:00.000+02:00'
19,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/26/ontslagverlening-en-benoeming-kabinet',b'2017-10-26T10:27:00.000Z',b'2017-10-26T10:27:00.000Z',b'f6f40dc1-010d-47e8-a949-befce69c5d93',b'<p>Mededeling van het Kabinet van de Koning:</p>',b'2019-01-04T08:54:46.952Z',b'Ontslagverlening en benoeming kabinet',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/f6f40dc1-010d-47e8-a949-befce69c5d93',b'2017-10-26T12:27:00.000+02:00'
20,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/26/ministers-zijlstra-en-kaag-verwelkomd-bij-bz',b'2017-10-26T11:57:00.000Z',b'2017-10-26T11:58:00.000Z',b'a01834ea-e8ef-4f1c-9fc6-c77e1e7031aa',b'<p>Minister Halbe Zijlstra van Buitenlandse Zaken en minister Sigrid Kaag voor Buitenlandse Handel en Ontwikkelingssamenwerking zijn donderdagmiddag be\xc3\xabdigd in het nieuwe kabinet Rutte-III. Aansluitend heette secretaris-generaal Joke Brandt hen van harte welkom op het ministerie van Buitenlandse Zaken voor de offici\xc3\xable overdracht.</p>',b'2017-10-26T14:25:51.995Z',b'Ministers Zijlstra en Kaag verwelkomd bij BZ',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/a01834ea-e8ef-4f1c-9fc6-c77e1e7031aa',b'2017-10-26T13:58:00.000+02:00'
21,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/26/nieuwe-bewindspersonen-ocw-treden-aan',b'2017-10-26T12:52:00.000Z',b'2017-10-26T12:52:00.000Z',b'09313f0d-2a57-4e89-bdaf-458232fd8192',"b'<p>Op donderdag 26 oktober 2017 zijn de nieuwe bewindslieden van het ministerie van Onderwijs, Cultuur en Wetenschap van harte welkom geheten door secretaris-generaal Marjan Hammersma. Ingrid van Engelshoven en Arie Slob nemen het stokje over van Jet Bussemaker en Sander Dekker.\xc2\xa0</p>'",b'2017-10-26T14:24:53.366Z',b'Nieuwe bewindspersonen OCW treden aan',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/09313f0d-2a57-4e89-bdaf-458232fd8192',b'2017-10-26T14:52:00.000+02:00'
22,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/26/nieuwe-bewindspersonen-bij-bzk',b'2017-10-26T14:41:00.000Z',b'2017-10-26T14:41:00.000Z',b'04eda66d-39b7-4c1a-8f0b-7d3203e6d5be',b'<p>Vandaag zijn K.H. (Kajsa) Ollongren en R.W. (Raymond) Knops begonnen als minister en staatssecretaris van Binnenlandse Zaken en Koninkrijksrelaties.</p>',b'2017-10-27T11:47:55.694Z',b'Nieuwe bewindspersonen bij BZK',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/04eda66d-39b7-4c1a-8f0b-7d3203e6d5be',b'2017-10-26T16:41:00.000+02:00'
23,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/26/anita-wouters-verantwoordelijk-voor-bovengrond-groningen',b'2017-10-26T16:00:00.000Z',b'2017-10-26T16:00:00.000Z',b'faf45469-973a-4cef-bff0-1c8b572b80b7',"b'<p>Anita Wouters (1955) wordt per 26 oktober 2017 benoemd tot project-directeur-generaal Groningen Bovengronds bij het ministerie van Economische Zaken &amp; Klimaat (EZK). Zij is in deze functie verantwoordelijk voor de advisering van de minister over de schade-afhandeling, versterking en het perspectief voor Groningen in relatie tot de aardbevingsproblematiek. Wouters zal daarnaast namens de minister van EZK en het Rijk overlegpartner zijn voor de Groningse regio en de Nationaal Co\xc3\xb6rdinator Groningen (NCG).</p>'",b'2017-10-27T06:19:31.242Z',b'Anita Wouters verantwoordelijk voor Bovengrond Groningen',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/faf45469-973a-4cef-bff0-1c8b572b80b7',b'2017-10-26T18:00:00.000+02:00'
24,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/10/27/beloningen-in-de-regeling-beloning-curatoren-beschermingsbewindvoerders-en-mentoren-blijven-ongewijzigd-voor-2018',b'2017-10-27T06:27:00.000Z',b'2017-10-27T06:27:00.000Z',b'5478ab2c-0d36-481c-84fc-cc5e35aabf8a',"b'<p>In de Regeling beloning curatoren, beschermingsbewindvoerders en mentoren is bepaald dat indexering van de beloningen eens per 3 jaar plaatsvindt, tenzij het indexeringspercentage met betrekking tot 1 jaar hoger is dan 1% of lager is dan -1% (zie artikel 13 van de Regeling beloning).</p>\n\n<p>Het indexeringspercentage voor 2018 is berekend op 0,7225 % en valt hiermee binnen de genoemde bandbreedte. De beloningen in de Regeling beloning blijven daarom ongewijzigd voor 2018.</p>'",b'2017-10-27T10:08:27.981Z',"b'Beloningen in de Regeling beloning curatoren, beschermingsbewindvoerders en mentoren blijven ongewijzigd voor 2018'",b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/5478ab2c-0d36-481c-84fc-cc5e35aabf8a',b'2017-10-27T08:27:00.000+02:00'
